,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
112607,112607,2,2.0,17.59,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
115257,115257,2,2.0,16.61,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
115452,115452,1,0.0,18.0,2.0,230,132,1,70.0,3.25,0.5,16.3,6.94,1.0,97.99,2.5,0.0,0.75
116050,116050,2,1.0,18.05,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
117347,117347,1,1.0,16.9,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
117557,117557,1,2.0,17.9,5.0,230,132,1,85.69,0.75,0.0,17.45,0.0,1.0,104.89,0.0,0.0,0.75
119424,119424,2,3.0,18.59,2.0,230,132,1,70.0,0.0,0.5,18.69,0.0,1.0,93.44,2.5,0.0,0.75
119720,119720,2,1.0,15.06,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
120171,120171,2,2.0,17.1,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
120196,120196,2,3.0,13.95,2.0,230,132,1,70.0,0.0,0.5,10.0,0.0,1.0,84.75,2.5,0.0,0.75
121378,121378,2,4.0,17.1,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
121519,121519,2,2.0,16.24,2.0,230,132,1,70.0,5.0,0.5,15.95,0.0,1.0,95.7,2.5,0.0,0.75
122757,122757,2,1.0,16.75,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
123417,123417,1,1.0,16.1,2.0,230,132,1,70.0,8.25,0.5,10.0,6.94,1.0,96.69,2.5,0.0,0.75
123736,123736,2,2.0,16.09,2.0,230,132,1,70.0,5.0,0.5,17.34,6.94,1.0,104.03,2.5,0.0,0.75
124434,124434,2,2.0,14.36,2.0,230,132,2,70.0,5.0,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
124502,124502,2,2.0,15.54,5.0,230,132,1,95.0,0.0,0.0,19.85,0.0,1.0,119.1,2.5,0.0,0.75
125177,125177,2,1.0,16.47,1.0,230,132,1,77.9,2.5,0.5,18.42,6.94,1.0,110.51,2.5,0.0,0.75
125288,125288,2,2.0,17.86,2.0,230,132,3,-70.0,-5.0,-0.5,0.0,-6.94,-1.0,-86.69,-2.5,0.0,-0.75
125289,125289,2,2.0,17.86,2.0,230,132,3,70.0,5.0,0.5,0.0,6.94,1.0,86.69,2.5,0.0,0.75
